PCA1,PCA2,Cluster,Segment
0.8726580496435709,2.6867580095553274,2,Loyal Customers
2.55025989717957,-0.8044273463632191,1,VIP Customers
0.4751417941871487,0.7461208779133909,2,Loyal Customers
0.14583196924288525,-0.4604804668029547,0,Active Customers
-1.6889904949654113,0.6765554894664512,3,At-Risk Customers
1.4395747508697962,0.6364771321502136,2,Loyal Customers
-2.1539869437447816,-0.06623115751699059,3,At-Risk Customers
-1.0235592605169668,0.9190028273014887,3,At-Risk Customers
-1.3976104298490148,0.5577377823772007,3,At-Risk Customers
0.9259844273230337,0.09225827403031853,2,Loyal Customers
0.5416740683657225,0.3348213721850215,2,Loyal Customers
1.0437798089466375,-1.6560055994351557,0,Active Customers
1.1723462675744456,1.045885358450929,2,Loyal Customers
0.597358839872214,0.5746954619260524,2,Loyal Customers
-1.927066783156771,0.422832953249629,3,At-Risk Customers
2.819842652473811,-0.4295686845806049,1,VIP Customers
-0.6912538378174344,0.36104735763354184,3,At-Risk Customers
1.141554088039112,-0.7206488623482669,0,Active Customers
-0.989752104303282,1.0287798268799613,3,At-Risk Customers
-0.4334430998624941,-2.1895454919376287,0,Active Customers
0.9424586559120676,0.7525926204977906,2,Loyal Customers
0.22827949141447668,0.24941287036656623,2,Loyal Customers
0.13437216049610282,0.5165553539123867,2,Loyal Customers
-1.64930473628228,0.7099533965968715,3,At-Risk Customers
-0.36266333669852285,-0.607086362414657,0,Active Customers
0.06988920098928621,-1.1175615544368818,0,Active Customers
-0.5783259692518185,1.417386811682714,2,Loyal Customers
-0.18123170122265997,1.0309438422749015,2,Loyal Customers
-0.37437848388201217,0.3345060516728201,2,Loyal Customers
1.129250790811734,0.1396355990577094,2,Loyal Customers
1.622771360300067,-0.7839695201384561,1,VIP Customers
0.3119288911621611,1.394255169561287,2,Loyal Customers
-0.16359225570603617,-0.44720020741499344,0,Active Customers
-1.26814826127451,0.9537095247140188,3,At-Risk Customers
1.5587445541981357,0.08464947658792084,1,VIP Customers
-0.9394834870493729,0.00406274049885805,3,At-Risk Customers
-0.5419874572875226,-0.8581966000267341,0,Active Customers
0.43021421498820855,0.67434910598084,2,Loyal Customers
-0.0909325896518557,0.3251965418674774,2,Loyal Customers
2.0955590168786915,0.45540799777514174,1,VIP Customers
0.4272496023222013,0.20012303714128585,2,Loyal Customers
-0.21474267565219346,0.0550996360164948,2,Loyal Customers
0.07151790488550006,0.8600979116463887,2,Loyal Customers
-2.330000150336262,0.1640703813363094,3,At-Risk Customers
-1.89072126056856,0.5598719258295138,3,At-Risk Customers
-0.8816661430600804,-0.3804382041590977,3,At-Risk Customers
-0.6369992716727895,0.8071052642951108,2,Loyal Customers
0.7743205656032994,0.02549230210931246,2,Loyal Customers
0.768373559271778,0.5447731571974697,2,Loyal Customers
1.1724978592469195,0.4787253267510193,2,Loyal Customers
1.1162838930136405,1.3541431637533687,2,Loyal Customers
-0.9757065755782941,1.0949947205750292,3,At-Risk Customers
0.0922491813295278,0.5215961758547359,2,Loyal Customers
-0.09345826008305104,0.2761380922238726,2,Loyal Customers
-0.6800924747452122,0.9063065314476113,3,At-Risk Customers
4.252635175262887,2.1531541560938505,1,VIP Customers
2.56320997622272,-0.5968291937827165,1,VIP Customers
-0.9774400878310432,0.2917458017805737,3,At-Risk Customers
-0.8137299999401872,-0.10352081554933115,3,At-Risk Customers
0.6677669222651017,-0.494322304873253,0,Active Customers
-0.201588099193354,0.5224989454812277,2,Loyal Customers
2.4129268576492455,-1.321960263419048,1,VIP Customers
-0.2905064655589666,1.030067740845757,2,Loyal Customers
-0.7659597586263924,0.11390742140558341,3,At-Risk Customers
-1.249628155666245,0.5854143407069015,3,At-Risk Customers
0.36130245945515316,-0.3800639344673256,0,Active Customers
2.203369532069046,0.8973490720610755,1,VIP Customers
1.5990697357215151,-0.2722654680074069,1,VIP Customers
-1.0673241408840153,-0.6596084615639987,3,At-Risk Customers
2.4112755812576965,1.203468406329308,1,VIP Customers
1.3398720276002845,0.8460215809160656,2,Loyal Customers
3.2425381895567917,-0.6495829732729494,1,VIP Customers
-0.41430366389671347,0.3368127566510647,2,Loyal Customers
0.6868856134154105,1.1254373123191626,2,Loyal Customers
-1.0603519149301435,0.11595601678721118,3,At-Risk Customers
3.3985289953175815,-0.4216053565176302,1,VIP Customers
0.8611863658604604,-0.30413161520814996,2,Loyal Customers
-2.0632217075594586,0.5456725543905967,3,At-Risk Customers
-0.33943095273797147,-2.324317734605876,0,Active Customers
1.5996585348846923,0.40266486489330255,1,VIP Customers
-1.1278033410528818,-1.3072695431188275,0,Active Customers
-0.5338474485610634,0.021257103910793867,3,At-Risk Customers
-1.428664337346447,0.6512179653105102,3,At-Risk Customers
-0.8103544198260232,-0.44179050246956864,3,At-Risk Customers
1.3192815271962923,0.2853087780054349,2,Loyal Customers
-1.309026030231883,0.20886061306810458,3,At-Risk Customers
2.111508238398078,0.23318795643448903,1,VIP Customers
-0.11377034645295817,-0.882510530304968,0,Active Customers
-1.015511040689634,0.4192844209045483,3,At-Risk Customers
0.07620289948679791,0.45694115093898297,2,Loyal Customers
0.9399048317485655,0.9736466254075846,2,Loyal Customers
0.7443739523670813,0.5357198558764452,2,Loyal Customers
1.0783080690516684,0.946345946365883,2,Loyal Customers
-0.26987584818829485,0.282828712733199,2,Loyal Customers
-0.4402963054615382,0.4091449600384708,2,Loyal Customers
0.32751501333506794,-0.4465689002691525,0,Active Customers
0.468193964180355,0.4240151158294421,2,Loyal Customers
1.5585976688727659,-0.3966769717174277,1,VIP Customers
0.14414961428120132,-0.6847950380164761,0,Active Customers
-0.7625009627628186,0.7997618680133287,3,At-Risk Customers
4.499572225078565,0.2710695446744818,1,VIP Customers
1.834146672102373,0.8693121746310415,1,VIP Customers
1.3674144447169874,0.5121256645555683,2,Loyal Customers
2.90294967732586,0.8593412864503199,1,VIP Customers
-0.6615977368516821,-0.1417481733785767,3,At-Risk Customers
2.4716920945980734,0.617846050529119,1,VIP Customers
2.1666500856164954,0.870300887493556,1,VIP Customers
0.22606734460190211,-1.6839799985748245,0,Active Customers
-0.2297279710626333,-1.2218787030000906,0,Active Customers
1.128881260709772,0.35421758167726447,2,Loyal Customers
2.167639489588157,0.7313137318374737,1,VIP Customers
1.710905646053105,0.1765729826483396,1,VIP Customers
1.5266290062743775,0.7025334982199642,2,Loyal Customers
0.8577822931788801,-0.6831809444239366,0,Active Customers
-1.7189215240374758,0.7280347595526002,3,At-Risk Customers
2.6819982024961457,-0.1593968635794978,1,VIP Customers
-0.7539498528407051,-0.5077293959100447,0,Active Customers
-0.8313391422208982,-0.25675343019702696,3,At-Risk Customers
-0.9615130051933835,0.5324925310829174,3,At-Risk Customers
1.2988483685872,-0.15586643100457823,2,Loyal Customers
-0.6453551371303752,0.2521440641546286,3,At-Risk Customers
